#Saved Data from the class wainteach_gui on 29.10.2025 at 12h17m06s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2700000000.0, 3100000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 3
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [2.125399, 0.0, 0.0]
#coils fields [bx, by, bz] (T): [0.002, 0.0, 0.0]
#coils fields [norm, theta, phi] (T, °, °): [0.002, 90.0, 0.0]
#
#Data:
#=====
#frequency	voltage	
2.700000e+09	3.306421e+00
2.700400e+09	3.307071e+00
2.700801e+09	3.307235e+00
2.701201e+09	3.306690e+00
2.701602e+09	3.307369e+00
2.702002e+09	3.306893e+00
2.702402e+09	3.307359e+00
2.702803e+09	3.306782e+00
2.703203e+09	3.307780e+00
2.703604e+09	3.307087e+00
2.704004e+09	3.307469e+00
2.704404e+09	3.306895e+00
2.704805e+09	3.306907e+00
2.705205e+09	3.306626e+00
2.705606e+09	3.306498e+00
2.706006e+09	3.306538e+00
2.706406e+09	3.306739e+00
2.706807e+09	3.307927e+00
2.707207e+09	3.306870e+00
2.707608e+09	3.307597e+00
2.708008e+09	3.307561e+00
2.708408e+09	3.307285e+00
2.708809e+09	3.307219e+00
2.709209e+09	3.307551e+00
2.709610e+09	3.306794e+00
2.710010e+09	3.306878e+00
2.710410e+09	3.307057e+00
2.710811e+09	3.306759e+00
2.711211e+09	3.305810e+00
2.711612e+09	3.306313e+00
2.712012e+09	3.307732e+00
2.712412e+09	3.306829e+00
2.712813e+09	3.307332e+00
2.713213e+09	3.307590e+00
2.713614e+09	3.307153e+00
2.714014e+09	3.306655e+00
2.714414e+09	3.306952e+00
2.714815e+09	3.307485e+00
2.715215e+09	3.307345e+00
2.715616e+09	3.307686e+00
2.716016e+09	3.306228e+00
2.716416e+09	3.306283e+00
2.716817e+09	3.307178e+00
2.717217e+09	3.306645e+00
2.717618e+09	3.306054e+00
2.718018e+09	3.307467e+00
2.718418e+09	3.307516e+00
2.718819e+09	3.307246e+00
2.719219e+09	3.307390e+00
2.719620e+09	3.305971e+00
2.720020e+09	3.307046e+00
2.720420e+09	3.306852e+00
2.720821e+09	3.307685e+00
2.721221e+09	3.306869e+00
2.721622e+09	3.306815e+00
2.722022e+09	3.307022e+00
2.722422e+09	3.307616e+00
2.722823e+09	3.307019e+00
2.723223e+09	3.307589e+00
2.723624e+09	3.307137e+00
2.724024e+09	3.307317e+00
2.724424e+09	3.307712e+00
2.724825e+09	3.307278e+00
2.725225e+09	3.307116e+00
2.725626e+09	3.307615e+00
2.726026e+09	3.307367e+00
2.726426e+09	3.306490e+00
2.726827e+09	3.307073e+00
2.727227e+09	3.307297e+00
2.727628e+09	3.306400e+00
2.728028e+09	3.307090e+00
2.728428e+09	3.306938e+00
2.728829e+09	3.307161e+00
2.729229e+09	3.306998e+00
2.729630e+09	3.307940e+00
2.730030e+09	3.307272e+00
2.730430e+09	3.307299e+00
2.730831e+09	3.307205e+00
2.731231e+09	3.306789e+00
2.731632e+09	3.306151e+00
2.732032e+09	3.306125e+00
2.732432e+09	3.307024e+00
2.732833e+09	3.307009e+00
2.733233e+09	3.307584e+00
2.733634e+09	3.306691e+00
2.734034e+09	3.307054e+00
2.734434e+09	3.306705e+00
2.734835e+09	3.307821e+00
2.735235e+09	3.306039e+00
2.735636e+09	3.306347e+00
2.736036e+09	3.306450e+00
2.736436e+09	3.307245e+00
2.736837e+09	3.307012e+00
2.737237e+09	3.307150e+00
2.737638e+09	3.308087e+00
2.738038e+09	3.307950e+00
2.738438e+09	3.308225e+00
2.738839e+09	3.307279e+00
2.739239e+09	3.307593e+00
2.739640e+09	3.306643e+00
2.740040e+09	3.306114e+00
2.740440e+09	3.305326e+00
2.740841e+09	3.306648e+00
2.741241e+09	3.306206e+00
2.741642e+09	3.306029e+00
2.742042e+09	3.307147e+00
2.742442e+09	3.306105e+00
2.742843e+09	3.306863e+00
2.743243e+09	3.306802e+00
2.743644e+09	3.307102e+00
2.744044e+09	3.306771e+00
2.744444e+09	3.307068e+00
2.744845e+09	3.307442e+00
2.745245e+09	3.306769e+00
2.745646e+09	3.306554e+00
2.746046e+09	3.307279e+00
2.746446e+09	3.307597e+00
2.746847e+09	3.306574e+00
2.747247e+09	3.307832e+00
2.747648e+09	3.306060e+00
2.748048e+09	3.306617e+00
2.748448e+09	3.306838e+00
2.748849e+09	3.307497e+00
2.749249e+09	3.307211e+00
2.749650e+09	3.308072e+00
2.750050e+09	3.307325e+00
2.750450e+09	3.306662e+00
2.750851e+09	3.307560e+00
2.751251e+09	3.306567e+00
2.751652e+09	3.306947e+00
2.752052e+09	3.306807e+00
2.752452e+09	3.307060e+00
2.752853e+09	3.306975e+00
2.753253e+09	3.307178e+00
2.753654e+09	3.307216e+00
2.754054e+09	3.307374e+00
2.754454e+09	3.306949e+00
2.754855e+09	3.307308e+00
2.755255e+09	3.306944e+00
2.755656e+09	3.307186e+00
2.756056e+09	3.307980e+00
2.756456e+09	3.306660e+00
2.756857e+09	3.306745e+00
2.757257e+09	3.307115e+00
2.757658e+09	3.307743e+00
2.758058e+09	3.307155e+00
2.758458e+09	3.307449e+00
2.758859e+09	3.307632e+00
2.759259e+09	3.306994e+00
2.759660e+09	3.308021e+00
2.760060e+09	3.307721e+00
2.760460e+09	3.307716e+00
2.760861e+09	3.307668e+00
2.761261e+09	3.308341e+00
2.761662e+09	3.306838e+00
2.762062e+09	3.306895e+00
2.762462e+09	3.307376e+00
2.762863e+09	3.306631e+00
2.763263e+09	3.307081e+00
2.763664e+09	3.307489e+00
2.764064e+09	3.307650e+00
2.764464e+09	3.308352e+00
2.764865e+09	3.308619e+00
2.765265e+09	3.307543e+00
2.765666e+09	3.307087e+00
2.766066e+09	3.307558e+00
2.766466e+09	3.307109e+00
2.766867e+09	3.307201e+00
2.767267e+09	3.307253e+00
2.767668e+09	3.307428e+00
2.768068e+09	3.306550e+00
2.768468e+09	3.307414e+00
2.768869e+09	3.307140e+00
2.769269e+09	3.307308e+00
2.769670e+09	3.306980e+00
2.770070e+09	3.307934e+00
2.770470e+09	3.307298e+00
2.770871e+09	3.307104e+00
2.771271e+09	3.307409e+00
2.771672e+09	3.306769e+00
2.772072e+09	3.306809e+00
2.772472e+09	3.306863e+00
2.772873e+09	3.307458e+00
2.773273e+09	3.307034e+00
2.773674e+09	3.306884e+00
2.774074e+09	3.306718e+00
2.774474e+09	3.307032e+00
2.774875e+09	3.307722e+00
2.775275e+09	3.307383e+00
2.775676e+09	3.307881e+00
2.776076e+09	3.306987e+00
2.776476e+09	3.306484e+00
2.776877e+09	3.305997e+00
2.777277e+09	3.306116e+00
2.777678e+09	3.305253e+00
2.778078e+09	3.305449e+00
2.778478e+09	3.306043e+00
2.778879e+09	3.307214e+00
2.779279e+09	3.306041e+00
2.779680e+09	3.306446e+00
2.780080e+09	3.306398e+00
2.780480e+09	3.306625e+00
2.780881e+09	3.305739e+00
2.781281e+09	3.306315e+00
2.781682e+09	3.305923e+00
2.782082e+09	3.305513e+00
2.782482e+09	3.305749e+00
2.782883e+09	3.304947e+00
2.783283e+09	3.305742e+00
2.783684e+09	3.305794e+00
2.784084e+09	3.306432e+00
2.784484e+09	3.306267e+00
2.784885e+09	3.305758e+00
2.785285e+09	3.305857e+00
2.785686e+09	3.306024e+00
2.786086e+09	3.305913e+00
2.786486e+09	3.306621e+00
2.786887e+09	3.306984e+00
2.787287e+09	3.306649e+00
2.787688e+09	3.307100e+00
2.788088e+09	3.306511e+00
2.788488e+09	3.306469e+00
2.788889e+09	3.306404e+00
2.789289e+09	3.306160e+00
2.789690e+09	3.306882e+00
2.790090e+09	3.307154e+00
2.790490e+09	3.307585e+00
2.790891e+09	3.307252e+00
2.791291e+09	3.307869e+00
2.791692e+09	3.307668e+00
2.792092e+09	3.307437e+00
2.792492e+09	3.306816e+00
2.792893e+09	3.307501e+00
2.793293e+09	3.306022e+00
2.793694e+09	3.306779e+00
2.794094e+09	3.306421e+00
2.794494e+09	3.306822e+00
2.794895e+09	3.306708e+00
2.795295e+09	3.307859e+00
2.795696e+09	3.307491e+00
2.796096e+09	3.307784e+00
2.796496e+09	3.308216e+00
2.796897e+09	3.307625e+00
2.797297e+09	3.307410e+00
2.797698e+09	3.306850e+00
2.798098e+09	3.307532e+00
2.798498e+09	3.306424e+00
2.798899e+09	3.306227e+00
2.799299e+09	3.306620e+00
2.799700e+09	3.306764e+00
2.800100e+09	3.307476e+00
2.800501e+09	3.307409e+00
2.800901e+09	3.307076e+00
2.801301e+09	3.306929e+00
2.801702e+09	3.307915e+00
2.802102e+09	3.306500e+00
2.802503e+09	3.306725e+00
2.802903e+09	3.306983e+00
2.803303e+09	3.307474e+00
2.803704e+09	3.307479e+00
2.804104e+09	3.306818e+00
2.804505e+09	3.306666e+00
2.804905e+09	3.306717e+00
2.805305e+09	3.306885e+00
2.805706e+09	3.306178e+00
2.806106e+09	3.306402e+00
2.806507e+09	3.306971e+00
2.806907e+09	3.307395e+00
2.807307e+09	3.306419e+00
2.807708e+09	3.306914e+00
2.808108e+09	3.306838e+00
2.808509e+09	3.307197e+00
2.808909e+09	3.307470e+00
2.809309e+09	3.306577e+00
2.809710e+09	3.307033e+00
2.810110e+09	3.307263e+00
2.810511e+09	3.306925e+00
2.810911e+09	3.306588e+00
2.811311e+09	3.307143e+00
2.811712e+09	3.307322e+00
2.812112e+09	3.307487e+00
2.812513e+09	3.306758e+00
2.812913e+09	3.307345e+00
2.813313e+09	3.307503e+00
2.813714e+09	3.306401e+00
2.814114e+09	3.306884e+00
2.814515e+09	3.306419e+00
2.814915e+09	3.307114e+00
2.815315e+09	3.307222e+00
2.815716e+09	3.307582e+00
2.816116e+09	3.307427e+00
2.816517e+09	3.307214e+00
2.816917e+09	3.306981e+00
2.817317e+09	3.306810e+00
2.817718e+09	3.306932e+00
2.818118e+09	3.308052e+00
2.818519e+09	3.307111e+00
2.818919e+09	3.306516e+00
2.819319e+09	3.307246e+00
2.819720e+09	3.305852e+00
2.820120e+09	3.306296e+00
2.820521e+09	3.306176e+00
2.820921e+09	3.306810e+00
2.821321e+09	3.306566e+00
2.821722e+09	3.306700e+00
2.822122e+09	3.306644e+00
2.822523e+09	3.306010e+00
2.822923e+09	3.306923e+00
2.823323e+09	3.305534e+00
2.823724e+09	3.305854e+00
2.824124e+09	3.305754e+00
2.824525e+09	3.306331e+00
2.824925e+09	3.305301e+00
2.825325e+09	3.305747e+00
2.825726e+09	3.305984e+00
2.826126e+09	3.305192e+00
2.826527e+09	3.305242e+00
2.826927e+09	3.305276e+00
2.827327e+09	3.305182e+00
2.827728e+09	3.304355e+00
2.828128e+09	3.305097e+00
2.828529e+09	3.303692e+00
2.828929e+09	3.302535e+00
2.829329e+09	3.302323e+00
