#Saved Data from the class wainteach_gui on 29.10.2025 at 11h12m09s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 3
#MW power (dBm): 1.5000000000000000e+01
#Field enabling: True
#coils currents [x, y, z] (A): [1.062699, 0.527983, 1.34]
#coils fields [bx, by, bz] (T): [0.001, 0.0005, 0.00201]
#coils fields [norm, theta, phi] (T, °, °): [0.0023, 29.1, 26.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.310097e+00
2.790170e+09	3.310289e+00
2.790340e+09	3.310750e+00
2.790511e+09	3.311482e+00
2.790681e+09	3.310896e+00
2.790851e+09	3.310886e+00
2.791021e+09	3.310839e+00
2.791191e+09	3.310871e+00
2.791361e+09	3.310455e+00
2.791532e+09	3.310399e+00
2.791702e+09	3.309842e+00
2.791872e+09	3.309156e+00
2.792042e+09	3.308960e+00
2.792212e+09	3.310575e+00
2.792382e+09	3.311025e+00
2.792553e+09	3.310591e+00
2.792723e+09	3.311222e+00
2.792893e+09	3.311075e+00
2.793063e+09	3.310906e+00
2.793233e+09	3.310834e+00
2.793403e+09	3.310293e+00
2.793574e+09	3.310404e+00
2.793744e+09	3.310288e+00
2.793914e+09	3.310326e+00
2.794084e+09	3.310442e+00
2.794254e+09	3.310066e+00
2.794424e+09	3.310806e+00
2.794595e+09	3.310735e+00
2.794765e+09	3.311527e+00
2.794935e+09	3.311078e+00
2.795105e+09	3.310491e+00
2.795275e+09	3.310864e+00
2.795445e+09	3.309877e+00
2.795616e+09	3.310447e+00
2.795786e+09	3.310225e+00
2.795956e+09	3.310575e+00
2.796126e+09	3.310500e+00
2.796296e+09	3.310741e+00
2.796466e+09	3.309729e+00
2.796637e+09	3.310879e+00
2.796807e+09	3.310139e+00
2.796977e+09	3.310355e+00
2.797147e+09	3.309604e+00
2.797317e+09	3.310062e+00
2.797487e+09	3.310108e+00
2.797658e+09	3.309842e+00
2.797828e+09	3.309753e+00
2.797998e+09	3.309752e+00
2.798168e+09	3.310205e+00
2.798338e+09	3.309444e+00
2.798509e+09	3.309134e+00
2.798679e+09	3.308783e+00
2.798849e+09	3.308190e+00
2.799019e+09	3.309226e+00
2.799189e+09	3.309034e+00
2.799359e+09	3.308811e+00
2.799530e+09	3.309337e+00
2.799700e+09	3.310177e+00
2.799870e+09	3.309157e+00
2.800040e+09	3.310537e+00
2.800210e+09	3.308867e+00
2.800380e+09	3.309534e+00
2.800551e+09	3.309200e+00
2.800721e+09	3.308429e+00
2.800891e+09	3.307965e+00
2.801061e+09	3.307291e+00
2.801231e+09	3.308709e+00
2.801401e+09	3.308466e+00
2.801572e+09	3.309218e+00
2.801742e+09	3.308957e+00
2.801912e+09	3.308409e+00
2.802082e+09	3.308830e+00
2.802252e+09	3.308694e+00
2.802422e+09	3.307780e+00
2.802593e+09	3.307947e+00
2.802763e+09	3.308293e+00
2.802933e+09	3.307544e+00
2.803103e+09	3.308038e+00
2.803273e+09	3.307319e+00
2.803443e+09	3.308751e+00
2.803614e+09	3.307985e+00
2.803784e+09	3.307698e+00
2.803954e+09	3.307091e+00
2.804124e+09	3.307031e+00
2.804294e+09	3.307126e+00
2.804464e+09	3.306748e+00
2.804635e+09	3.306586e+00
2.804805e+09	3.305956e+00
2.804975e+09	3.306491e+00
2.805145e+09	3.305943e+00
2.805315e+09	3.305675e+00
2.805485e+09	3.304817e+00
2.805656e+09	3.305283e+00
2.805826e+09	3.304648e+00
2.805996e+09	3.304963e+00
2.806166e+09	3.304072e+00
2.806336e+09	3.304321e+00
2.806507e+09	3.304747e+00
2.806677e+09	3.302945e+00
2.806847e+09	3.304032e+00
2.807017e+09	3.302052e+00
2.807187e+09	3.302268e+00
2.807357e+09	3.301271e+00
2.807528e+09	3.301041e+00
2.807698e+09	3.299250e+00
2.807868e+09	3.298392e+00
2.808038e+09	3.300144e+00
2.808208e+09	3.299783e+00
2.808378e+09	3.299583e+00
2.808549e+09	3.299210e+00
2.808719e+09	3.298660e+00
2.808889e+09	3.298505e+00
2.809059e+09	3.298044e+00
2.809229e+09	3.296439e+00
2.809399e+09	3.295824e+00
2.809570e+09	3.295548e+00
2.809740e+09	3.295109e+00
2.809910e+09	3.293295e+00
2.810080e+09	3.292155e+00
2.810250e+09	3.291708e+00
2.810420e+09	3.290490e+00
2.810591e+09	3.289064e+00
2.810761e+09	3.287623e+00
2.810931e+09	3.286185e+00
2.811101e+09	3.284722e+00
2.811271e+09	3.283773e+00
2.811441e+09	3.281214e+00
2.811612e+09	3.279957e+00
2.811782e+09	3.279126e+00
2.811952e+09	3.278086e+00
2.812122e+09	3.277248e+00
2.812292e+09	3.275018e+00
2.812462e+09	3.273628e+00
2.812633e+09	3.272152e+00
2.812803e+09	3.270807e+00
2.812973e+09	3.269807e+00
2.813143e+09	3.269276e+00
2.813313e+09	3.268917e+00
2.813483e+09	3.267979e+00
2.813654e+09	3.268295e+00
2.813824e+09	3.267265e+00
2.813994e+09	3.266418e+00
2.814164e+09	3.265713e+00
2.814334e+09	3.266029e+00
2.814505e+09	3.264144e+00
2.814675e+09	3.263697e+00
2.814845e+09	3.264612e+00
2.815015e+09	3.265085e+00
2.815185e+09	3.265950e+00
2.815355e+09	3.266050e+00
2.815526e+09	3.266299e+00
2.815696e+09	3.267322e+00
2.815866e+09	3.267616e+00
2.816036e+09	3.267317e+00
2.816206e+09	3.267886e+00
2.816376e+09	3.268054e+00
2.816547e+09	3.267893e+00
2.816717e+09	3.268289e+00
2.816887e+09	3.268411e+00
2.817057e+09	3.269544e+00
2.817227e+09	3.270771e+00
2.817397e+09	3.272292e+00
2.817568e+09	3.273667e+00
2.817738e+09	3.275511e+00
2.817908e+09	3.277709e+00
2.818078e+09	3.279745e+00
2.818248e+09	3.281011e+00
2.818418e+09	3.282753e+00
2.818589e+09	3.284401e+00
2.818759e+09	3.284845e+00
2.818929e+09	3.286109e+00
2.819099e+09	3.286925e+00
2.819269e+09	3.287571e+00
2.819439e+09	3.289265e+00
2.819610e+09	3.289662e+00
2.819780e+09	3.290341e+00
2.819950e+09	3.291550e+00
2.820120e+09	3.292838e+00
2.820290e+09	3.293602e+00
2.820460e+09	3.294629e+00
2.820631e+09	3.293825e+00
2.820801e+09	3.294782e+00
2.820971e+09	3.295336e+00
2.821141e+09	3.296041e+00
2.821311e+09	3.295375e+00
2.821481e+09	3.295617e+00
2.821652e+09	3.296816e+00
2.821822e+09	3.296379e+00
2.821992e+09	3.296679e+00
2.822162e+09	3.296788e+00
