#Saved Data from the class wainteach_gui on 29.10.2025 at 11h46m01s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 10
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [-1.062699, -0.527983, -1.333333]
#coils fields [bx, by, bz] (T): [-0.001, -0.0005, -0.002]
#coils fields [norm, theta, phi] (T, °, °): [0.002291, 150.8, 206.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.242447e+00
2.790170e+09	3.242422e+00
2.790340e+09	3.242714e+00
2.790511e+09	3.242747e+00
2.790681e+09	3.243208e+00
2.790851e+09	3.242623e+00
2.791021e+09	3.243242e+00
2.791191e+09	3.242539e+00
2.791361e+09	3.242691e+00
2.791532e+09	3.242531e+00
2.791702e+09	3.242885e+00
2.791872e+09	3.242983e+00
2.792042e+09	3.242191e+00
2.792212e+09	3.242833e+00
2.792382e+09	3.242688e+00
2.792553e+09	3.242662e+00
2.792723e+09	3.242628e+00
2.792893e+09	3.242934e+00
2.793063e+09	3.242520e+00
2.793233e+09	3.242800e+00
2.793403e+09	3.242838e+00
2.793574e+09	3.242088e+00
2.793744e+09	3.242927e+00
2.793914e+09	3.242234e+00
2.794084e+09	3.242715e+00
2.794254e+09	3.242272e+00
2.794424e+09	3.242628e+00
2.794595e+09	3.242343e+00
2.794765e+09	3.242101e+00
2.794935e+09	3.242553e+00
2.795105e+09	3.242604e+00
2.795275e+09	3.242717e+00
2.795445e+09	3.242482e+00
2.795616e+09	3.242722e+00
2.795786e+09	3.242718e+00
2.795956e+09	3.243263e+00
2.796126e+09	3.242973e+00
2.796296e+09	3.242876e+00
2.796466e+09	3.242827e+00
2.796637e+09	3.242433e+00
2.796807e+09	3.242525e+00
2.796977e+09	3.242600e+00
2.797147e+09	3.243142e+00
2.797317e+09	3.242480e+00
