#Saved Data from the class wainteach_gui on 29.10.2025 at 11h41m34s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 10
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [1.062699, 0.527983, 1.34]
#coils fields [bx, by, bz] (T): [0.001, 0.0005, 0.00201]
#coils fields [norm, theta, phi] (T, °, °): [0.0023, 29.1, 26.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.314969e+00
2.790170e+09	3.315677e+00
2.790340e+09	3.315458e+00
2.790511e+09	3.315499e+00
2.790681e+09	3.315172e+00
2.790851e+09	3.314961e+00
2.791021e+09	3.315340e+00
2.791191e+09	3.315589e+00
2.791361e+09	3.315945e+00
2.791532e+09	3.315462e+00
2.791702e+09	3.315547e+00
2.791872e+09	3.315509e+00
2.792042e+09	3.315484e+00
2.792212e+09	3.315252e+00
2.792382e+09	3.315095e+00
2.792553e+09	3.315393e+00
2.792723e+09	3.315191e+00
2.792893e+09	3.315345e+00
2.793063e+09	3.314754e+00
2.793233e+09	3.315311e+00
2.793403e+09	3.315475e+00
2.793574e+09	3.315746e+00
2.793744e+09	3.315448e+00
2.793914e+09	3.315525e+00
2.794084e+09	3.315917e+00
2.794254e+09	3.315443e+00
2.794424e+09	3.315513e+00
2.794595e+09	3.315091e+00
2.794765e+09	3.315639e+00
2.794935e+09	3.315073e+00
2.795105e+09	3.315060e+00
2.795275e+09	3.314898e+00
2.795445e+09	3.315107e+00
2.795616e+09	3.315309e+00
2.795786e+09	3.315667e+00
2.795956e+09	3.315441e+00
2.796126e+09	3.315365e+00
2.796296e+09	3.315402e+00
2.796466e+09	3.314995e+00
2.796637e+09	3.314576e+00
2.796807e+09	3.314439e+00
2.796977e+09	3.315212e+00
2.797147e+09	3.315417e+00
2.797317e+09	3.315527e+00
2.797487e+09	3.315369e+00
2.797658e+09	3.314888e+00
2.797828e+09	3.315460e+00
2.797998e+09	3.315166e+00
2.798168e+09	3.315428e+00
