#Saved Data from the class wainteach_gui on 29.10.2025 at 12h02m01s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 10
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [-0.977483, -0.528905, -1.358606]
#coils fields [bx, by, bz] (T): [-0.00092, -0.000501, -0.00201]
#coils fields [norm, theta, phi] (T, °, °): [0.002291, 152.8, 208.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.244301e+00
2.790170e+09	3.244203e+00
2.790340e+09	3.244399e+00
2.790511e+09	3.244596e+00
2.790681e+09	3.244994e+00
2.790851e+09	3.243971e+00
2.791021e+09	3.244194e+00
2.791191e+09	3.243990e+00
2.791361e+09	3.244404e+00
2.791532e+09	3.244016e+00
2.791702e+09	3.244322e+00
2.791872e+09	3.244293e+00
2.792042e+09	3.244316e+00
2.792212e+09	3.244350e+00
2.792382e+09	3.244176e+00
2.792553e+09	3.244703e+00
2.792723e+09	3.244307e+00
2.792893e+09	3.244591e+00
2.793063e+09	3.244276e+00
2.793233e+09	3.244055e+00
2.793403e+09	3.244003e+00
2.793574e+09	3.244664e+00
2.793744e+09	3.244479e+00
2.793914e+09	3.244357e+00
2.794084e+09	3.244689e+00
2.794254e+09	3.245084e+00
2.794424e+09	3.244720e+00
2.794595e+09	3.244226e+00
2.794765e+09	3.244344e+00
2.794935e+09	3.244168e+00
2.795105e+09	3.244463e+00
2.795275e+09	3.244217e+00
2.795445e+09	3.244334e+00
2.795616e+09	3.244162e+00
2.795786e+09	3.244245e+00
2.795956e+09	3.244306e+00
2.796126e+09	3.244372e+00
2.796296e+09	3.244288e+00
2.796466e+09	3.244552e+00
2.796637e+09	3.244478e+00
2.796807e+09	3.244022e+00
2.796977e+09	3.244109e+00
2.797147e+09	3.244513e+00
2.797317e+09	3.244683e+00
2.797487e+09	3.244318e+00
2.797658e+09	3.244170e+00
2.797828e+09	3.243889e+00
2.797998e+09	3.244232e+00
2.798168e+09	3.244048e+00
2.798338e+09	3.243478e+00
2.798509e+09	3.243727e+00
2.798679e+09	3.244068e+00
2.798849e+09	3.244192e+00
2.799019e+09	3.244102e+00
2.799189e+09	3.243439e+00
2.799359e+09	3.243846e+00
2.799530e+09	3.244266e+00
2.799700e+09	3.243789e+00
2.799870e+09	3.243761e+00
2.800040e+09	3.243179e+00
2.800210e+09	3.243634e+00
2.800380e+09	3.243477e+00
2.800551e+09	3.243288e+00
2.800721e+09	3.243251e+00
2.800891e+09	3.243604e+00
2.801061e+09	3.243812e+00
2.801231e+09	3.243755e+00
2.801401e+09	3.243555e+00
2.801572e+09	3.243395e+00
2.801742e+09	3.243886e+00
2.801912e+09	3.243839e+00
2.802082e+09	3.243829e+00
2.802252e+09	3.243074e+00
2.802422e+09	3.243240e+00
2.802593e+09	3.243231e+00
2.802763e+09	3.242961e+00
2.802933e+09	3.243080e+00
2.803103e+09	3.243533e+00
2.803273e+09	3.243570e+00
2.803443e+09	3.243627e+00
2.803614e+09	3.243436e+00
2.803784e+09	3.242909e+00
2.803954e+09	3.242666e+00
2.804124e+09	3.242723e+00
2.804294e+09	3.242482e+00
2.804464e+09	3.242010e+00
2.804635e+09	3.242014e+00
2.804805e+09	3.242183e+00
2.804975e+09	3.242157e+00
2.805145e+09	3.241951e+00
2.805315e+09	3.242852e+00
2.805485e+09	3.242531e+00
2.805656e+09	3.242549e+00
2.805826e+09	3.242271e+00
2.805996e+09	3.242039e+00
2.806166e+09	3.242033e+00
2.806336e+09	3.241988e+00
2.806507e+09	3.241009e+00
2.806677e+09	3.241164e+00
2.806847e+09	3.241142e+00
2.807017e+09	3.241548e+00
2.807187e+09	3.241103e+00
2.807357e+09	3.240739e+00
2.807528e+09	3.241056e+00
2.807698e+09	3.241500e+00
2.807868e+09	3.241077e+00
2.808038e+09	3.240457e+00
2.808208e+09	3.240312e+00
2.808378e+09	3.240739e+00
2.808549e+09	3.240557e+00
2.808719e+09	3.240459e+00
2.808889e+09	3.239678e+00
2.809059e+09	3.239287e+00
2.809229e+09	3.239094e+00
2.809399e+09	3.238659e+00
2.809570e+09	3.237848e+00
2.809740e+09	3.237198e+00
2.809910e+09	3.237262e+00
2.810080e+09	3.237041e+00
2.810250e+09	3.235921e+00
2.810420e+09	3.234127e+00
2.810591e+09	3.233022e+00
2.810761e+09	3.231270e+00
2.810931e+09	3.228670e+00
2.811101e+09	3.226307e+00
2.811271e+09	3.223752e+00
2.811441e+09	3.221955e+00
2.811612e+09	3.222202e+00
2.811782e+09	3.222703e+00
2.811952e+09	3.224398e+00
2.812122e+09	3.227046e+00
2.812292e+09	3.228453e+00
2.812462e+09	3.229261e+00
2.812633e+09	3.229037e+00
2.812803e+09	3.228393e+00
2.812973e+09	3.226554e+00
2.813143e+09	3.225088e+00
2.813313e+09	3.222457e+00
2.813483e+09	3.220194e+00
2.813654e+09	3.219563e+00
2.813824e+09	3.220535e+00
2.813994e+09	3.221535e+00
2.814164e+09	3.223681e+00
2.814334e+09	3.226300e+00
2.814505e+09	3.228102e+00
2.814675e+09	3.228838e+00
2.814845e+09	3.228457e+00
2.815015e+09	3.228157e+00
2.815185e+09	3.227031e+00
2.815355e+09	3.225343e+00
2.815526e+09	3.223055e+00
2.815696e+09	3.221142e+00
2.815866e+09	3.220855e+00
2.816036e+09	3.222895e+00
2.816206e+09	3.225029e+00
2.816376e+09	3.227185e+00
2.816547e+09	3.230437e+00
2.816717e+09	3.232598e+00
2.816887e+09	3.234148e+00
2.817057e+09	3.235175e+00
2.817227e+09	3.236226e+00
2.817397e+09	3.237245e+00
2.817568e+09	3.237525e+00
2.817738e+09	3.238183e+00
2.817908e+09	3.238114e+00
2.818078e+09	3.238336e+00
2.818248e+09	3.238523e+00
2.818418e+09	3.238452e+00
2.818589e+09	3.238346e+00
2.818759e+09	3.239153e+00
2.818929e+09	3.239894e+00
2.819099e+09	3.240169e+00
2.819269e+09	3.240356e+00
2.819439e+09	3.240391e+00
2.819610e+09	3.240955e+00
2.819780e+09	3.241392e+00
2.819950e+09	3.241327e+00
2.820120e+09	3.241191e+00
2.820290e+09	3.241187e+00
2.820460e+09	3.241045e+00
2.820631e+09	3.240919e+00
2.820801e+09	3.240202e+00
2.820971e+09	3.240745e+00
2.821141e+09	3.241523e+00
2.821311e+09	3.241895e+00
2.821481e+09	3.241805e+00
2.821652e+09	3.241736e+00
2.821822e+09	3.242060e+00
2.821992e+09	3.242025e+00
2.822162e+09	3.241836e+00
2.822332e+09	3.241224e+00
2.822503e+09	3.240667e+00
2.822673e+09	3.240322e+00
2.822843e+09	3.240302e+00
2.823013e+09	3.239803e+00
