#Saved Data from the class wainteach_gui on 29.10.2025 at 12h09m37s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 10
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [-1.145272, -0.520304, -1.28803]
#coils fields [bx, by, bz] (T): [-0.001078, -0.000493, -0.001932]
#coils fields [norm, theta, phi] (T, °, °): [0.002266, 148.5, 204.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.244226e+00
2.790170e+09	3.244556e+00
2.790340e+09	3.244492e+00
2.790511e+09	3.244057e+00
2.790681e+09	3.244124e+00
2.790851e+09	3.244356e+00
2.791021e+09	3.244336e+00
2.791191e+09	3.244652e+00
2.791361e+09	3.244827e+00
2.791532e+09	3.244751e+00
2.791702e+09	3.244787e+00
2.791872e+09	3.244185e+00
2.792042e+09	3.243574e+00
2.792212e+09	3.243913e+00
2.792382e+09	3.244213e+00
2.792553e+09	3.244667e+00
2.792723e+09	3.244174e+00
2.792893e+09	3.244638e+00
2.793063e+09	3.244555e+00
2.793233e+09	3.244576e+00
2.793403e+09	3.244662e+00
2.793574e+09	3.244436e+00
2.793744e+09	3.244054e+00
2.793914e+09	3.243975e+00
2.794084e+09	3.244674e+00
2.794254e+09	3.244011e+00
2.794424e+09	3.243720e+00
2.794595e+09	3.244201e+00
2.794765e+09	3.244374e+00
2.794935e+09	3.244431e+00
2.795105e+09	3.244214e+00
2.795275e+09	3.244414e+00
2.795445e+09	3.244441e+00
2.795616e+09	3.244537e+00
2.795786e+09	3.244078e+00
2.795956e+09	3.244521e+00
2.796126e+09	3.244307e+00
2.796296e+09	3.244555e+00
2.796466e+09	3.244371e+00
2.796637e+09	3.244331e+00
2.796807e+09	3.243909e+00
2.796977e+09	3.244108e+00
2.797147e+09	3.244398e+00
2.797317e+09	3.244460e+00
2.797487e+09	3.244618e+00
2.797658e+09	3.244560e+00
