#Saved Data from the class wainteach_gui on 29.10.2025 at 12h13m17s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 10
#MW power (dBm): 6.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [1.145271, 0.520304, 1.286667]
#coils fields [bx, by, bz] (T): [0.001078, 0.000493, 0.00193]
#coils fields [norm, theta, phi] (T, °, °): [0.002265, 31.5, 24.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.319221e+00
2.790170e+09	3.319131e+00
2.790340e+09	3.319810e+00
2.790511e+09	3.319274e+00
2.790681e+09	3.318906e+00
2.790851e+09	3.318850e+00
2.791021e+09	3.319030e+00
2.791191e+09	3.318900e+00
2.791361e+09	3.318860e+00
2.791532e+09	3.319468e+00
2.791702e+09	3.319362e+00
2.791872e+09	3.319010e+00
2.792042e+09	3.319148e+00
2.792212e+09	3.319396e+00
2.792382e+09	3.319085e+00
2.792553e+09	3.319756e+00
2.792723e+09	3.318966e+00
2.792893e+09	3.318676e+00
2.793063e+09	3.318839e+00
2.793233e+09	3.318696e+00
2.793403e+09	3.319206e+00
2.793574e+09	3.319187e+00
2.793744e+09	3.319458e+00
2.793914e+09	3.319063e+00
2.794084e+09	3.319483e+00
2.794254e+09	3.319533e+00
2.794424e+09	3.319276e+00
2.794595e+09	3.318975e+00
2.794765e+09	3.319335e+00
2.794935e+09	3.319003e+00
2.795105e+09	3.318394e+00
2.795275e+09	3.318708e+00
2.795445e+09	3.319133e+00
2.795616e+09	3.319310e+00
2.795786e+09	3.319115e+00
2.795956e+09	3.319746e+00
2.796126e+09	3.319325e+00
2.796296e+09	3.319598e+00
2.796466e+09	3.319504e+00
2.796637e+09	3.319246e+00
2.796807e+09	3.319212e+00
2.796977e+09	3.318659e+00
2.797147e+09	3.318804e+00
2.797317e+09	3.318931e+00
2.797487e+09	3.319404e+00
2.797658e+09	3.319399e+00
2.797828e+09	3.319552e+00
2.797998e+09	3.319375e+00
2.798168e+09	3.319598e+00
2.798338e+09	3.319303e+00
2.798509e+09	3.319362e+00
2.798679e+09	3.319368e+00
2.798849e+09	3.319064e+00
2.799019e+09	3.319587e+00
2.799189e+09	3.319045e+00
2.799359e+09	3.319656e+00
2.799530e+09	3.319115e+00
2.799700e+09	3.319458e+00
2.799870e+09	3.319196e+00
2.800040e+09	3.319227e+00
2.800210e+09	3.319469e+00
2.800380e+09	3.319416e+00
2.800551e+09	3.319279e+00
2.800721e+09	3.318948e+00
2.800891e+09	3.319247e+00
2.801061e+09	3.319006e+00
2.801231e+09	3.319249e+00
2.801401e+09	3.319232e+00
2.801572e+09	3.319227e+00
2.801742e+09	3.319002e+00
2.801912e+09	3.319133e+00
2.802082e+09	3.318718e+00
2.802252e+09	3.318521e+00
2.802422e+09	3.319460e+00
2.802593e+09	3.318800e+00
2.802763e+09	3.319408e+00
2.802933e+09	3.318909e+00
2.803103e+09	3.318929e+00
2.803273e+09	3.318675e+00
2.803443e+09	3.318927e+00
2.803614e+09	3.318751e+00
2.803784e+09	3.318355e+00
2.803954e+09	3.318658e+00
2.804124e+09	3.317912e+00
2.804294e+09	3.318417e+00
2.804464e+09	3.318311e+00
2.804635e+09	3.318540e+00
2.804805e+09	3.318103e+00
2.804975e+09	3.319076e+00
2.805145e+09	3.317911e+00
2.805315e+09	3.318178e+00
2.805485e+09	3.317842e+00
2.805656e+09	3.317444e+00
2.805826e+09	3.317174e+00
2.805996e+09	3.317193e+00
2.806166e+09	3.317355e+00
2.806336e+09	3.317097e+00
2.806507e+09	3.317776e+00
2.806677e+09	3.317895e+00
2.806847e+09	3.317710e+00
2.807017e+09	3.317631e+00
2.807187e+09	3.317884e+00
2.807357e+09	3.316976e+00
2.807528e+09	3.316846e+00
2.807698e+09	3.317026e+00
2.807868e+09	3.316296e+00
2.808038e+09	3.316599e+00
2.808208e+09	3.315969e+00
2.808378e+09	3.316728e+00
2.808549e+09	3.316351e+00
2.808719e+09	3.316633e+00
2.808889e+09	3.315794e+00
2.809059e+09	3.316134e+00
2.809229e+09	3.315914e+00
2.809399e+09	3.315400e+00
2.809570e+09	3.315345e+00
2.809740e+09	3.314809e+00
2.809910e+09	3.315077e+00
2.810080e+09	3.314092e+00
2.810250e+09	3.314000e+00
2.810420e+09	3.313153e+00
2.810591e+09	3.312984e+00
2.810761e+09	3.312032e+00
2.810931e+09	3.312217e+00
2.811101e+09	3.310754e+00
2.811271e+09	3.309980e+00
2.811441e+09	3.309210e+00
2.811612e+09	3.307064e+00
2.811782e+09	3.305895e+00
2.811952e+09	3.302619e+00
2.812122e+09	3.301205e+00
2.812292e+09	3.298036e+00
2.812462e+09	3.297583e+00
2.812633e+09	3.297113e+00
2.812803e+09	3.298624e+00
2.812973e+09	3.300876e+00
2.813143e+09	3.302096e+00
2.813313e+09	3.303016e+00
2.813483e+09	3.303816e+00
2.813654e+09	3.304152e+00
2.813824e+09	3.302526e+00
2.813994e+09	3.301564e+00
2.814164e+09	3.298573e+00
2.814334e+09	3.296257e+00
2.814505e+09	3.293956e+00
2.814675e+09	3.294538e+00
2.814845e+09	3.295635e+00
2.815015e+09	3.297226e+00
2.815185e+09	3.299849e+00
2.815355e+09	3.301312e+00
2.815526e+09	3.303056e+00
2.815696e+09	3.303043e+00
2.815866e+09	3.303579e+00
2.816036e+09	3.302089e+00
2.816206e+09	3.301062e+00
2.816376e+09	3.298598e+00
2.816547e+09	3.296991e+00
